Dataset,type,Authors,Publication year,Title,Journal/Book title/ Report type,Vol(issue)/Report no,pagination,doi no/ISBN no/Ref.,URL,,,catalogue link
aam,article,"Anderson, J.R., and Rosen, R.D.",1983,Latitude-height structure of 40 - 50 day variations in atmospheric angular momentum.,J. Atmos. Sci.,40(6),1584-1591,10.1175/1520-0469(1983)040<1584:TLHSOD>2.0.CO;2,http://dx.doi.org/10.1175/1520-0469(1983)040<1584:TLHSOD>2.0.CO;2,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Barnes, R.T.H., R. Hide, A.A. White, and C.A. Wilson",1983,"Atmospheric angular momentum fluctuations, length-of-day changes and polar motion.",Proc. Roy. Soc. Lond. Math. Phys. Sci.,387(1792),31-73,10.1098/rspa.1983.0050,http://dx.doi.org/10.1098/rspa.1983.0050,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Bell, M.J., R. Hide, and G. Sakellarides",1991,Atmospheric angular momentum forecasts as novel tests of global numerical weather prediction models.,Phil. Trans. Roy. Soc. Lond. A,334(1633),55-92,10.1098/rsta.1991.0003,http://dx.doi.org/10.1098/rsta.1991.0003,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Boer, G.J.",1990,Atmospheric exchange of angular momentum simulated in a general circulation model and implications for the length of day,J. Geophys. Res.,95(D5),5511-5531,10.1029/JD095iD05p05511,http://dx.doi.org/10.1029/JD095iD05p05511,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,misc,"Cazenave, A,",1986,The Earth's rotation; solved and unsolved problems (NATO ASI series C),,Springer,330pp,978-9027723338,http://books.google.co.uk/books?id=tJU4jBWYyHMC&lpg=PA108&ots=QpVjwxNvzI&dq=The%20Earth's%20rotation%3B%20solved%20and%20unsolved%20probles&pg=PP1#v=onepage&q=&f=false,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Chao, B. F., V. Dehant, R. S. Gross, R. D. Ray, D. A. Salstein, M. M. Watkins, C. R. Wilson",2000,Space geodesy monitors mass transports in global geophysical fluids,EOS Trans. Am. Geophys. Union,81(22),247-247,10.1029/00EO00172,http://dx.doi.org/10.1029/00EO00172,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Chao, B.F and A.Y. Au",1991,Temporal variation of the earth's low-degree zonal gravitational field caused by atmospheric mass redistribution: 1980-1988.,J. Geophys. Res.,96(B4),6569-6575,10.1029/91JB00042,http://dx.doi.org/10.1029/91JB00042,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Chao, B.F.",1993,"Excitation of Earth's Polar Motion by Atmospheric Angular Momentum Variations, 1980-1990",Geophys. Res. Lett.,20(3),253-256,10.1029/93GL00130,http://dx.doi.org/10.1029/93GL00130,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Chao, B.F.",1988,Excitation of the earth's polar motion due to mass variation in major hydrological reservoirs.,J. Geophys. Res.,93(B11),13811-13819,10.1029/JB093iB11p13811,http://dx.doi.org/10.1029/JB093iB11p13811,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Chao, B.F.",1989,Length-of-day variations caused by El Nino-Southern Oscillation and quasi-biennial oscillation,Science,243,923-925,10.1126/science.243.4893.923,http://dx.doi.org/10.1126/science.243.4893.923,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
